rank,feature,gain,split_count
360,feature_ah_rolling_mean_7,455594.509765625,22
361,feature_ae_lag_5,453387.28857421875,12
362,feature_az_lag_1,453224.40478515625,21
363,feature_al_lag_28,452276.27001953125,51
364,feature_bd_rolling_mean_3,449602.0634765625,17
365,feature_ad_rolling_mean_3,446698.9033203125,18
366,feature_r_rolling_mean_3,441198.7509765625,23
367,feature_at_rolling_mean_7,439282.31884765625,30
368,feature_j_rolling_mean_7,430800.66943359375,20
369,feature_r_lag_1,430062.0231933594,18
370,feature_bl_lag_5,426888.32275390625,20
371,feature_ae_lag_21,424391.99951171875,23
372,feature_ap_lag_14,424022.419921875,14
373,feature_be_rolling_mean_3,423175.75732421875,17
374,feature_ag_lag_28,421832.1455078125,20
375,feature_bo_lag_14,416010.6943359375,18
376,feature_bn_lag_14,410908.9443359375,23
377,feature_be_lag_3,403612.06005859375,14
378,feature_az_lag_21,403591.00390625,30
379,feature_j_rolling_mean_3,403215.0322265625,15
380,feature_a_lag_1,400395.45556640625,23
381,feature_bf_lag_3,399896.77587890625,16
382,feature_cb_rolling_std_7,398027.84912109375,31
383,feature_an_rolling_mean_3,391848.9938964844,14
384,feature_ac,388562.36376953125,21
385,feature_ag_lag_21,387540.03662109375,20
386,feature_ae,385896.1618652344,11
387,feature_x_lag_14,385829.44873046875,15
388,feature_ar_rolling_std_7,385637.86083984375,21
389,feature_y_lag_14,384025.3095703125,21
390,feature_at_lag_3,383332.78515625,17
391,feature_as_rolling_std_7,382978.81103515625,19
392,feature_bm_lag_21,381964.693359375,15
393,feature_bq_rolling_std_7,374950.25244140625,20
394,feature_bl_lag_3,373962.77685546875,16
395,feature_bp_lag_5,373137.3505859375,18
396,feature_j_lag_3,370247.373046875,16
397,feature_ap_lag_1,368335.27197265625,7
398,feature_ay_lag_28,368254.08935546875,24
399,feature_be_lag_5,367855.2138671875,22
400,feature_bq_rolling_mean_3,367025.017578125,15
401,feature_at_lag_5,365708.72216796875,22
402,feature_ak,361937.7392578125,22
403,feature_bf_rolling_mean_7,359772.103515625,17
404,feature_ay_lag_21,358196.5895996094,25
405,feature_y_lag_1,354988.13720703125,21
406,feature_bh_lag_3,354942.9501953125,14
407,feature_at_lag_14,354147.81005859375,26
408,feature_bq_lag_3,347900.23876953125,17
409,feature_ak_lag_1,343051.9890136719,17
410,feature_cc_rolling_mean_3,342990.7880859375,15
411,feature_bq_rolling_mean_7,340574.75732421875,20
412,feature_bo_lag_21,336485.80078125,20
413,feature_at_lag_21,332492.96728515625,16
414,feature_br_lag_1,330767.4699707031,12
415,feature_br_lag_21,327996.7111816406,8
416,feature_ah_lag_3,326300.45947265625,17
417,feature_bf_rolling_mean_3,324752.59033203125,17
418,feature_ad_lag_3,315948.90625,18
419,feature_bn_rolling_mean_3,312282.228515625,18
420,feature_x_rolling_mean_7,309033.11181640625,15
421,feature_y_rolling_mean_3,307856.3017578125,14
422,feature_ah_rolling_mean_3,306705.55078125,15
423,feature_k_rolling_mean_7,302899.02978515625,15
424,feature_bw_lag_14,302128.85888671875,7
425,feature_ay_lag_5,300719.642578125,19
426,feature_x_lag_21,300287.037109375,11
427,feature_bm_lag_1,299511.3505859375,17
428,feature_at_rolling_mean_3,298806.59130859375,19
429,feature_bm_lag_14,293855.7766113281,20
430,feature_ay_rolling_mean_3,293396.3896484375,17
431,feature_bf_lag_1,292740.7177734375,13
432,feature_an_lag_5,291218.16064453125,16
433,feature_bg_rolling_std_7,290135.86682128906,21
434,feature_y_rolling_mean_7,287230.5009765625,20
435,feature_bk,286773.58154296875,8
436,feature_ac_lag_21,285302.111328125,18
437,feature_br_lag_14,284271.76171875,13
438,feature_be_rolling_mean_7,282464.6005859375,9
439,feature_an_lag_1,281981.25244140625,15
440,feature_al_lag_1,279888.3000488281,24
441,feature_an_lag_28,278919.57958984375,16
442,feature_x_lag_28,278674.41064453125,19
443,feature_ag,276812.59765625,17
444,feature_q,273176.8095703125,15
445,feature_h_rolling_mean_3,268919.48828125,16
446,feature_au_lag_28,268693.177734375,11
447,feature_x_lag_1,268233.25,14
448,feature_ak_lag_21,265998.501953125,17
449,feature_bf_lag_5,265278.7978515625,13
450,feature_ch_lag_21,263394.5515136719,13
451,feature_ac_lag_3,262691.72314453125,13
452,feature_az_rolling_mean_3,260698.7998046875,10
453,feature_ap_lag_28,254394.40234375,9
454,feature_q_rolling_mean_7,254084.609375,10
455,feature_bo_lag_1,249844.89111328125,14
456,feature_aq_rolling_std_7,249069.4912109375,16
457,feature_bl_rolling_mean_7,248596.6591796875,10
458,feature_t,248284.39086914062,15
459,feature_am_rolling_std_7,246866.34033203125,14
460,feature_q_lag_21,245658.2138671875,11
461,feature_bq_lag_5,240696.869140625,8
462,feature_bq_lag_28,240399.16015625,13
463,feature_bm_rolling_mean_3,238414.0390625,9
464,feature_bn_lag_5,237369.501953125,10
465,feature_ac_lag_14,236803.47998046875,10
466,feature_br_rolling_std_7,235033.876953125,7
467,feature_a_lag_28,232465.17895507812,17
468,feature_ap_rolling_mean_7,231323.77392578125,8
469,feature_k_lag_5,227524.4580078125,14
470,feature_bk_rolling_mean_7,223339.12890625,14
471,feature_p_lag_28,223196.16015625,13
472,feature_k_rolling_mean_3,218038.080078125,13
473,feature_bv_lag_3,216616.92333984375,6
474,feature_an_lag_14,216567.67919921875,14
475,feature_bq_lag_21,216224.85986328125,16
476,feature_ak_lag_28,214922.068359375,15
477,feature_bu_lag_28,209599.3984375,2
478,feature_ac_rolling_mean_3,206565.90087890625,5
479,feature_az_lag_3,206146.87060546875,10
480,feature_t_lag_5,203644.8095703125,4
481,feature_ap_rolling_mean_3,203104.35034179688,6
482,feature_q_lag_1,202388.947265625,9
483,feature_ba_lag_28,198804.94653320312,8
484,feature_ae_rolling_mean_7,191195.99951171875,15
485,feature_n_lag_5,186113.60815429688,12
486,feature_bm_rolling_mean_7,184646.19921875,6
487,feature_bk_lag_28,183950.99072265625,8
488,feature_ac_rolling_mean_7,180741.0703125,7
489,feature_x_rolling_mean_3,179119.06298828125,9
490,feature_br_lag_5,176191.7880859375,6
491,feature_ay_lag_1,176045.19897460938,11
492,feature_ap_rolling_std_7,174979.001953125,3
493,feature_ag_rolling_mean_7,174317.0302734375,11
494,feature_ba,171870.1103515625,7
495,feature_bk_lag_5,171223.53979492188,9
496,feature_by_rolling_std_7,169812.29052734375,10
497,feature_bo_rolling_mean_7,168800.4580078125,11
498,feature_p_lag_21,167909.189453125,6
499,feature_ca_rolling_std_7,166719.2001953125,8
500,feature_ay_lag_3,165971.708984375,8
501,feature_a_lag_21,165709.23974609375,15
502,feature_bv,165017.7998046875,6
503,feature_bm_lag_3,163232.6572265625,8
504,feature_br,163104.1875,10
505,feature_bv_rolling_mean_7,162900.296875,5
506,feature_t_rolling_mean_7,161878.44921875,8
507,feature_br_rolling_mean_7,161368.3486328125,6
508,feature_br_lag_28,159619.67236328125,12
509,feature_bn_rolling_mean_7,159260.95849609375,10
510,feature_aw_rolling_mean_7,156618.8125,8
511,feature_ac_lag_1,156552.5771484375,8
512,feature_ag_rolling_mean_3,155984.39013671875,9
513,feature_bc_lag_14,155574.49072265625,10
514,feature_a_lag_5,152511.5673828125,10
515,feature_bk_rolling_std_7,152079.0,8
516,feature_ay,151031.150390625,11
517,feature_ap_lag_5,148552.880859375,5
518,feature_an_lag_21,148521.4609375,8
519,feature_a_lag_14,147387.99072265625,12
520,feature_an_lag_3,145759.25,7
521,feature_q_lag_28,144659.76025390625,14
522,feature_br_lag_3,143200.69921875,6
523,feature_az_rolling_mean_7,142599.1396484375,12
524,feature_l_rolling_std_7,141910.47290039062,9
525,feature_az_lag_5,138421.5166015625,8
526,feature_bj,137879.400390625,2
527,feature_q_lag_14,137809.92041015625,9
528,feature_a_lag_3,134337.39111328125,9
529,feature_ak_lag_5,132373.3623046875,8
530,feature_bs_lag_28,131819.78662109375,5
531,feature_bv_rolling_mean_3,131737.203125,2
532,feature_ch_lag_14,131565.2509765625,5
533,feature_t_lag_28,129112.13037109375,13
534,feature_bo_rolling_std_7,127291.4287109375,11
535,feature_bn_lag_1,127033.8603515625,9
536,feature_k_lag_3,126222.4716796875,12
537,feature_at_rolling_std_7,125290.69091796875,8
538,feature_bk_lag_21,125259.72998046875,7
539,feature_au_lag_21,123197.51245117188,6
540,feature_ad_rolling_std_7,122416.10009765625,11
541,feature_bj_lag_28,121820.021484375,8
542,feature_ak_rolling_mean_3,120856.55126953125,7
543,feature_o_rolling_mean_7,120317.2998046875,4
544,feature_w_rolling_mean_3,119319.169921875,5
545,feature_ak_lag_14,118003.16015625,8
546,feature_bw_lag_21,117509.2392578125,4
547,feature_i_rolling_std_7,117468.5810546875,10
548,feature_bv_lag_5,114864.201171875,3
549,feature_bl_rolling_std_7,113468.9912109375,5
550,feature_au_rolling_mean_7,113467.6376953125,5
551,feature_bq_lag_14,112442.4794921875,10
552,feature_t_lag_14,112328.4501953125,8
553,feature_s,110214.13916015625,9
554,feature_bc_lag_28,109523.529296875,7
555,feature_ba_rolling_mean_7,108590.818359375,8
556,feature_y_lag_3,108408.99975585938,7
557,feature_bb_rolling_mean_3,107973.30810546875,8
558,feature_av_lag_1,106056.3984375,4
559,feature_ax_rolling_mean_3,103538.751953125,4
560,feature_ae_rolling_std_7,103198.330078125,6
561,feature_bt_lag_5,101780.5419921875,3
562,feature_p,99940.390625,7
563,feature_ba_lag_1,99470.66845703125,6
564,feature_aw_lag_28,98671.51025390625,6
565,feature_ba_lag_5,96755.21044921875,8
566,feature_ax_rolling_mean_7,96079.50927734375,5
567,feature_q_lag_3,93950.58984375,6
568,feature_bh_rolling_mean_3,93774.259765625,8
569,feature_ak_lag_3,93558.4794921875,6
570,feature_ag_rolling_std_7,93031.3994140625,4
571,feature_ba_lag_21,91516.689453125,6
572,feature_bu_lag_5,89819.498046875,2
573,feature_bj_lag_21,89559.19165039062,5
574,feature_ch,89241.7509765625,5
575,feature_bx,89073.5,3
576,feature_bv_lag_1,89034.44921875,4
577,feature_aw_lag_21,87655.31958007812,8
578,feature_ae_lag_1,86894.0400390625,6
579,feature_bc,86129.30078125,5
580,feature_bt_lag_1,84870.412109375,3
581,feature_bo_lag_5,84110.9912109375,4
582,feature_ax,83181.0703125,6
583,feature_ac_lag_5,82854.12963867188,7
584,feature_aw,82503.6396484375,8
585,feature_w_lag_21,80868.30078125,3
586,feature_bw_lag_28,80257.30078125,2
